id,company_id,page_url,form_type,action,method,submit_type,endpoint,captcha,is_modal,trigger_selector,csrf_token,fields,hidden_fields,selectors,xpath
1,2,https://eurokappa.moscow/about,callback,,POST,ajax,,recaptcha_v2,False,,,"[{""tag"": ""input"", ""name"": ""fio"", ""type"": ""text"", ""id"": """", ""placeholder"": ""ФИО"", ""value"": """", ""required"": false, ""class"": ""main-form__input"", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""text"", ""id"": """", ""placeholder"": ""+7(9.."", ""value"": """", ""required"": false, ""class"": ""main-form__input"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": ""mail"", ""type"": ""text"", ""id"": ""mm"", ""placeholder"": ""E-mail"", ""value"": """", ""required"": false, ""class"": ""main-form__input"", ""data_attrs"": {}, ""purpose"": ""email""}]",[],"{""form"": ""html > body > div.main-form__inputs.mb-3"", ""submit_btn"": """", ""inputs"": [""input[name=\""fio\""]"", ""input[name=\""phone\""]"", ""#mm""]}",//html[1]/body[1]/div[1]
2,2,https://eurokappa.moscow/about,callback,,POST,ajax,,recaptcha_v2,False,,,"[{""tag"": ""input"", ""name"": ""phone"", ""type"": ""text"", ""id"": """", ""placeholder"": ""+7(9.."", ""value"": """", ""required"": false, ""class"": ""main-form__input"", ""data_attrs"": {}, ""purpose"": ""phone""}]",[],"{""form"": ""html > body > div.main-form__input-block.l-input"", ""submit_btn"": """", ""inputs"": [""input[name=\""phone\""]""]}",//html[1]/body[1]/div[1]
3,4,https://dento-lux.ru/,callback,https://dento-lux.ru/,POST,form,https://dento-lux.ru/,none,False,,,"[{""tag"": ""input"", ""name"": ""contact_name"", ""type"": ""text"", ""id"": ""contact_name"", ""placeholder"": ""Имя"", ""value"": """", ""required"": false, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""contact_phone"", ""type"": ""tel"", ""id"": ""contact_phone"", ""placeholder"": ""+7(___)___-__-__"", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": ""phone_"", ""type"": ""tel"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": ""date"", ""type"": ""text"", ""id"": ""date"", ""placeholder"": ""Желаемая дата"", ""value"": """", ""required"": false, ""class"": ""form-control date form_date"", ""data_attrs"": {""data-date-format"": ""dd MM yyyy"", ""data-link-format"": ""yyyy-mm-dd""}, ""purpose"": ""other""}, {""tag"": ""input"", ""name"": ""time"", ""type"": ""text"", ""id"": ""time"", ""placeholder"": ""Желаемое время"", ""value"": """", ""required"": false, ""class"": ""form-control date form_time"", ""data_attrs"": {""data-date"": """", ""data-date-format"": ""hh:ii"", ""data-link-format"": ""hh:ii""}, ""purpose"": ""other""}, {""tag"": ""select"", ""name"": ""clinika"", ""type"": ""select"", ""id"": ""clinika_select"", ""placeholder"": """", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""other""}, {""tag"": ""textarea"", ""name"": ""message"", ""type"": ""textarea"", ""id"": ""message"", ""placeholder"": ""Комментарий (максимум 150 симоволов)"", ""value"": """", ""required"": false, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""comment""}, {""tag"": ""input"", ""name"": ""antispam"", ""type"": ""number"", ""id"": """", ""placeholder"": ""Введите ответ"", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""other""}, {""tag"": ""input"", ""name"": ""policy"", ""type"": ""checkbox"", ""id"": ""policy_contact"", ""placeholder"": """", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""other""}, {""tag"": ""input"", ""name"": ""nobot"", ""type"": ""text"", ""id"": """", ""placeholder"": """", ""value"": ""antispam-HsJAyvU1uo4hzEme"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""temapage"", ""type"": ""hidden"", ""id"": ""temapage"", ""placeholder"": """", ""value"": ""Сеть стоматологий в Москве"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""urlpage"", ""type"": ""hidden"", ""id"": ""urlpage"", ""placeholder"": """", ""value"": ""https://dento-lux.ru/main"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""user_ip"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""185.8.7.164"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""form_load_time"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""af_action"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""885c15ac12f7831827cef9f3ebc961e9"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""div#appointment > form.quform.popup-cf"", ""submit_btn"": ""button.butn.w-100"", ""inputs"": [""#contact_name"", ""#contact_phone"", ""input[name=\""phone_\""]"", ""#date"", ""#time"", ""#clinika_select"", ""#message"", ""input[name=\""antispam\""]"", ""#policy_contact"", ""input[name=\""nobot\""]""]}","//*[@id=""appointment""]/form[1]"
4,4,https://dento-lux.ru/kontakty,callback,,POST,ajax,,none,False,,,"[{""tag"": ""input"", ""name"": ""contact_phone"", ""type"": ""tel"", ""id"": ""contact_phone"", ""placeholder"": ""+7(___)___-__-__"", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""phone""}]",[],"{""form"": ""html > body > div.quform-element.form-group"", ""submit_btn"": """", ""inputs"": [""#contact_phone""]}",//html[1]/body[1]/div[1]
5,4,https://dento-lux.ru/kontakty,callback,,POST,ajax,,none,False,,,"[{""tag"": ""input"", ""name"": ""contact_phone"", ""type"": ""tel"", ""id"": ""contact_phone"", ""placeholder"": ""+7(___)___-__-__"", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""phone""}]",[],"{""form"": ""html > body > div.quform-input"", ""submit_btn"": """", ""inputs"": [""#contact_phone""]}",//html[1]/body[1]/div[1]
6,4,https://dento-lux.ru/kontakty,callback,https://dento-lux.ru/kontakty/,POST,form,https://dento-lux.ru/kontakty/,none,False,,,"[{""tag"": ""input"", ""name"": ""contact_name"", ""type"": ""text"", ""id"": ""contact_name"", ""placeholder"": ""Имя"", ""value"": """", ""required"": false, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""contact_phone"", ""type"": ""tel"", ""id"": ""contact_phone"", ""placeholder"": ""+7(___)___-__-__"", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": ""phone_"", ""type"": ""tel"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": ""date"", ""type"": ""text"", ""id"": ""date"", ""placeholder"": ""Желаемая дата"", ""value"": """", ""required"": false, ""class"": ""form-control date form_date"", ""data_attrs"": {""data-date-format"": ""dd MM yyyy"", ""data-link-format"": ""yyyy-mm-dd""}, ""purpose"": ""other""}, {""tag"": ""input"", ""name"": ""time"", ""type"": ""text"", ""id"": ""time"", ""placeholder"": ""Желаемое время"", ""value"": """", ""required"": false, ""class"": ""form-control date form_time"", ""data_attrs"": {""data-date"": """", ""data-date-format"": ""hh:ii"", ""data-link-format"": ""hh:ii""}, ""purpose"": ""other""}, {""tag"": ""select"", ""name"": ""clinika"", ""type"": ""select"", ""id"": ""clinika_select"", ""placeholder"": """", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""other""}, {""tag"": ""textarea"", ""name"": ""message"", ""type"": ""textarea"", ""id"": ""message"", ""placeholder"": ""Комментарий (максимум 150 симоволов)"", ""value"": """", ""required"": false, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""comment""}, {""tag"": ""input"", ""name"": ""antispam"", ""type"": ""number"", ""id"": """", ""placeholder"": ""Введите ответ"", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""other""}, {""tag"": ""input"", ""name"": ""policy"", ""type"": ""checkbox"", ""id"": ""policy_contact"", ""placeholder"": """", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""other""}, {""tag"": ""input"", ""name"": ""nobot"", ""type"": ""text"", ""id"": """", ""placeholder"": """", ""value"": ""antispam-rTVXBomy4CL9j8da"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""temapage"", ""type"": ""hidden"", ""id"": ""temapage"", ""placeholder"": """", ""value"": ""Контакты"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""urlpage"", ""type"": ""hidden"", ""id"": ""urlpage"", ""placeholder"": """", ""value"": ""https://dento-lux.ru/kontakty/"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""user_ip"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""185.8.7.164"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""form_load_time"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""af_action"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""885c15ac12f7831827cef9f3ebc961e9"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""div#appointment > form.quform.popup-cf"", ""submit_btn"": ""button.butn.w-100"", ""inputs"": [""#contact_name"", ""#contact_phone"", ""input[name=\""phone_\""]"", ""#date"", ""#time"", ""#clinika_select"", ""#message"", ""input[name=\""antispam\""]"", ""#policy_contact"", ""input[name=\""nobot\""]""]}","//*[@id=""appointment""]/form[1]"
7,4,https://dento-lux.ru/uslugi,callback,,POST,ajax,,none,False,,,"[{""tag"": ""input"", ""name"": ""contact_phone"", ""type"": ""tel"", ""id"": ""contact_phone"", ""placeholder"": ""+7(___)___-__-__"", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""phone""}]",[],"{""form"": ""html > body > div.quform-element.form-group"", ""submit_btn"": """", ""inputs"": [""#contact_phone""]}",//html[1]/body[1]/div[1]
8,4,https://dento-lux.ru/uslugi,callback,,POST,ajax,,none,False,,,"[{""tag"": ""input"", ""name"": ""contact_phone"", ""type"": ""tel"", ""id"": ""contact_phone"", ""placeholder"": ""+7(___)___-__-__"", ""value"": """", ""required"": true, ""class"": ""form-control"", ""data_attrs"": {}, ""purpose"": ""phone""}]",[],"{""form"": ""html > body > div.quform-input"", ""submit_btn"": """", ""inputs"": [""#contact_phone""]}",//html[1]/body[1]/div[1]
9,5,https://zub.ru/contacts,callback,https://zub.ru/contacts/,POST,ajax,https://zub.ru/contacts/,recaptcha_v2,True,header#header > div > div > div > address > div > button,cbb9276699a12d211be42b8d943a7b8e,"[{""tag"": ""input"", ""name"": ""form_text_14"", ""type"": ""text"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": true, ""class"": ""input"", ""data_attrs"": {""data-input"": ""name""}, ""purpose"": ""comment""}, {""tag"": ""input"", ""name"": ""form_text_15"", ""type"": ""tel"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": true, ""class"": ""input phone-mask"", ""data_attrs"": {""data-input"": ""phone""}, ""purpose"": ""comment""}, {""tag"": ""textarea"", ""name"": ""form_text_37"", ""type"": ""textarea"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": ""textarea callback__textarea"", ""data_attrs"": {}, ""purpose"": ""comment""}, {""tag"": ""textarea"", ""name"": ""g-recaptcha-response"", ""type"": ""textarea"", ""id"": ""g-recaptcha-response"", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": ""g-recaptcha-response"", ""data_attrs"": {}, ""purpose"": ""other""}, {""tag"": ""input"", ""name"": ""web_form_submit"", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Заказать звонок"", ""required"": false, ""class"": ""button callback__button"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""bxajaxid"", ""type"": ""hidden"", ""id"": ""bxajaxid_f53fed2654992b67942740db541ab453_8BACKi"", ""placeholder"": """", ""value"": ""f53fed2654992b67942740db541ab453"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""AJAX_CALL"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""Y"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""sessid"", ""type"": ""hidden"", ""id"": ""sessid"", ""placeholder"": """", ""value"": ""cbb9276699a12d211be42b8d943a7b8e"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""WEB_FORM_ID"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""2"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""lot_number"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""gen_time"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""pass_token"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""captcha_output"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""captcha_id"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html > body > form"", ""submit_btn"": ""input.button.callback__button"", ""inputs"": [""input[name=\""form_text_14\""]"", ""input[name=\""form_text_15\""]"", ""textarea[name=\""form_text_37\""]"", ""#g-recaptcha-response""]}",//html[1]/body[1]/form[1]
10,5,https://zub.ru/contacts,callback,https://zub.ru/contacts/,POST,ajax,https://zub.ru/contacts/,recaptcha_v2,True,header#header > div > div > div > address > div > button,cbb9276699a12d211be42b8d943a7b8e,"[{""tag"": ""input"", ""name"": ""form_text_14"", ""type"": ""text"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": true, ""class"": ""input"", ""data_attrs"": {""data-input"": ""name""}, ""purpose"": ""comment""}, {""tag"": ""input"", ""name"": ""form_text_15"", ""type"": ""tel"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": true, ""class"": ""input phone-mask"", ""data_attrs"": {""data-input"": ""phone""}, ""purpose"": ""comment""}, {""tag"": ""textarea"", ""name"": ""form_text_37"", ""type"": ""textarea"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": ""textarea callback__textarea"", ""data_attrs"": {}, ""purpose"": ""comment""}, {""tag"": ""textarea"", ""name"": ""g-recaptcha-response"", ""type"": ""textarea"", ""id"": ""g-recaptcha-response"", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": ""g-recaptcha-response"", ""data_attrs"": {}, ""purpose"": ""other""}, {""tag"": ""input"", ""name"": ""web_form_submit"", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Заказать звонок"", ""required"": false, ""class"": ""button callback__button"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""bxajaxid"", ""type"": ""hidden"", ""id"": ""bxajaxid_f53fed2654992b67942740db541ab453_8BACKi"", ""placeholder"": """", ""value"": ""f53fed2654992b67942740db541ab453"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""AJAX_CALL"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""Y"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""sessid"", ""type"": ""hidden"", ""id"": ""sessid"", ""placeholder"": """", ""value"": ""cbb9276699a12d211be42b8d943a7b8e"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""WEB_FORM_ID"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""2"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""lot_number"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""gen_time"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""pass_token"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""captcha_output"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""captcha_id"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html > body > form"", ""submit_btn"": ""input.button.callback__button"", ""inputs"": [""input[name=\""form_text_14\""]"", ""input[name=\""form_text_15\""]"", ""textarea[name=\""form_text_37\""]"", ""#g-recaptcha-response""]}",//html[1]/body[1]/form[1]
